iteration,error,halfspace
0,0.8,1
1,0.8,0
2,0.512,0
3,0.32768,0
4,0.2097152,0
5,0.134217728,0
6,0.0858993459,0
7,0.0549755814,0
8,0.0351843721,0
9,0.0225179981,0
10,0.0144115188,0
11,0.009223372,0
12,0.0059029581,0
13,0.0037778932,0
14,0.0024178516,0
15,0.001547425,0
16,0.000990352,0
17,0.0006338253,0
18,0.0004056482,0
19,0.0002596148,0
20,0.0001661535,0
21,0.0001063382,0
22,6.80565e-05,0
23,4.35561e-05,0
24,2.78759e-05,0
25,1.78406e-05,0
26,1.1418e-05,0
27,7.3075e-06,0
28,4.6768e-06,0
29,2.9932e-06,0
30,1.9156e-06,0
31,1.226e-06,0
32,7.846e-07,0
33,5.022e-07,0
34,3.214e-07,0
35,2.057e-07,0
36,1.316e-07,0
37,8.42e-08,0
38,5.39e-08,0
39,3.45e-08,0
40,2.21e-08,0
41,1.41e-08,0
42,0.000000009,0
43,5.8e-09,0
44,3.7e-09,0
45,2.4e-09,0
46,1.5e-09,0
47,0.000000001,0
48,0.0000000006,0
49,0.0000000004,0
50,0.0000000003,0
