iteration,error,halfspace
0,0.8,1
1,0.8,1
2,0.8,1
3,0.8,1
4,0.8,1
5,0.8,1
6,0.8,1
7,0.8,1
8,0.8,1
9,0.8,1
10,0.8,1
11,0.8,1
12,0.8,1
13,0.8,1
14,0.8,1
15,0.8,1
16,0.512,0
17,0.32768,0
18,0.2097152,0
19,0.134217728,0
20,0.0858993459,0
21,0.0549755814,0
22,0.0351843721,0
23,0.0225179981,0
24,0.0144115188,0
25,0.009223372,0
26,0.0059029581,0
27,0.0037778932,0
28,0.0024178516,0
29,0.001547425,0
30,0.000990352,0
31,0.0006338253,0
32,0.0004056482,0
33,0.0002596148,0
34,0.0001661535,0
35,0.0001063382,0
36,6.80565e-05,0
37,4.35561e-05,0
38,2.78759e-05,0
39,1.78406e-05,0
40,1.1418e-05,0
41,7.3075e-06,0
42,4.6768e-06,0
43,2.9932e-06,0
44,1.9156e-06,0
45,1.226e-06,0
46,7.846e-07,0
47,5.022e-07,0
48,3.214e-07,0
49,2.057e-07,0
50,1.316e-07,0
