METADATA
solver_name,Algorithm (1)
max_iterations,51
dimensions,2
num_constraints,6
track_error,True
plot_errors,False
plot_active_halfspaces,True

INITIAL_POINT
z_0,z_1
-4.0,1.4

FINAL_PROJECTION
projection_0,projection_1
-1.427247692653566e-05,1.0000071362384633

CONSTRAINTS_N
normal_0,1.0,0.0
normal_1,-1.0,0.0
normal_2,0.0,1.0
normal_3,0.0,-1.0
normal_4,0.5,1.0
normal_5,-0.5,-1.0

CONSTRAINTS_C
c_0,c_1,c_2,c_3,c_4,c_5
1.0,1.0,1.0,1.0,1.0,-1.0

PATH_HISTORY
iteration,constraint,dim_0,dim_1
0,0,-4.0,1.4
0,1,-4.0,1.4
0,2,-4.0,1.4
1,0,-1.0,1.4
1,1,-1.0,1.0
1,2,-0.8,1.4
2,0,-1.0,1.4
2,1,-1.0,1.0
2,2,-0.8000000000000003,1.3999999999999995
3,0,-0.8000000000000007,1.3999999999999995
3,1,-0.8000000000000007,1.0
3,2,-0.640000000000001,1.3199999999999994
4,0,-0.640000000000001,1.3199999999999994
4,1,-0.640000000000001,1.0
4,2,-0.5120000000000009,1.2560000000000002
5,0,-0.5120000000000009,1.2560000000000002
5,1,-0.5120000000000009,1.0
5,2,-0.40960000000000063,1.2048000000000005
6,0,-0.40960000000000063,1.2048000000000005
6,1,-0.40960000000000063,1.0
6,2,-0.32768000000000086,1.1638399999999995
7,0,-0.32768000000000086,1.1638399999999995
7,1,-0.32768000000000086,1.0
7,2,-0.2621440000000006,1.1310720000000005
8,0,-0.2621440000000006,1.1310720000000005
8,1,-0.2621440000000006,1.0
8,2,-0.2097152000000002,1.1048576000000008
9,0,-0.2097152000000002,1.1048576000000008
9,1,-0.2097152000000002,1.0
9,2,-0.16777215999999973,1.083886080000001
10,0,-0.16777215999999973,1.083886080000001
10,1,-0.16777215999999973,1.0
10,2,-0.13421772799999943,1.0671088640000006
11,0,-0.13421772799999943,1.0671088640000006
11,1,-0.13421772799999943,1.0
11,2,-0.10737418239999963,1.0536870911999996
12,0,-0.10737418239999963,1.0536870911999996
12,1,-0.10737418239999963,1.0
12,2,-0.08589934592000015,1.042949672959999
13,0,-0.08589934592000015,1.042949672959999
13,1,-0.08589934592000015,1.0
13,2,-0.06871947673600065,1.034359738367999
14,0,-0.06871947673600065,1.034359738367999
14,1,-0.06871947673600065,1.0
14,2,-0.05497558138880043,1.0274877906944004
15,0,-0.05497558138880043,1.0274877906944004
